trip_date|trip_origin|trip_destination|trip_start_time|trip_end_time|start_odometer|end_odometer|distance_km|vin_or_truck_number|ab_kms|bc_kms|sk_kms|mb_kms|on_kms|ab_fuel|bc_fuel|sk_fuel|mb_fuel|on_fuel|source_file
15/2/22 |Nisku, AB |Fort St. Jhon, BC |||722830 |723630 |800 |2|650 |150 ||||680 |||||Distance log 2.pdf
16/2/22 |Fort St. Jhon, BC |Nisku, AB |||723630 |724480 |850 |2|700 |150 ||||650 |||||Distance log 2.pdf
17/2/22 |Nisku, AB |Valleyview, AB |||724480 |724850 |370 |2|370 ||||||||||Distance log 2.pdf
18/2/22 |Grande Prairie, AB |Nisku, AB |||724850 |725500 |650 |2|650 |||||400 |||||Distance log 2.pdf
21/2/22 |Nisku, AB |Fort St. Jhon, BC |||725500 |726300 |800 |2|650 |150 ||||550 |||||Distance log 2.pdf
22/2/22 |Fort St. Jhon, BC |Nisku to Calgary |||726300 |727450 |1150 |2|1000 |150 ||||730 |||||Distance log 2.pdf
23/2/22 |Calgary to Grande Prairie |Nisku, AB |||727450 |728650 |1200 |2|1200 |||||680 |||||Distance log 2.pdf
24/2/22 |Nisku to Chetwynd |Prince George, BC |||728650 |729750 |1100 |2|650 |450 ||||440 |||||Distance log 2.pdf
25/2/22 |Prince George, BC |Nisku, AB |||729750 |730600 |850 |2|450 |350 |||||340 ||||Distance log 2.pdf
28/2/22 |nisku to grande prairie |Nisku, AB |||730600 |731600 |1000 |2|1000 |||||530 |||||Distance log 2.pdf
02/1/22 |Nisku, AB |Grande Prairie, AB |||702870 |703370 |500 |2|500 |||||500 |||||Distance log 2.pdf
03/1/22 |Grande Prairie, AB |Nisku, AB |||703370 |704000 |630 |2|630 ||||||||||Distance log 2.pdf
10/1/22 |Nisku to Grande prairie |Nisku, AB |||704000 |704950 |950 |2|950 |||||700 |||||Distance log 2.pdf
11/1/22 |Nisku, AB |Kamloops, BC |||704950 |705800 |850 |2|400 |450 ||||550 |||||Distance log 2.pdf
12/1/22 |Kamloops, BC |Nisku, AB |||705800 |706600 |800 |2|350 |450 |||||600 ||||Distance log 2.pdf
13/1/22 |nisku to grande prairie |Nisku, AB |||706600 |707600 |1000 |2|1000 |||||610 |||||Distance log 2.pdf
14/1/22 |nisku to grande prairie |Nisku, AB |||707600 |708650 |1050 |2|1050 ||||||||||Distance log 2.pdf
18/1/22 |Nisku, AB |Fort St. Jhon, BC |||708650 |709220 |570 |2|420 |150 ||||724 |||||Distance log 2.pdf
19/1/22 |Fort St. Jhon, BC |Red Deer to Nisku |||709220 |710250 |1030 |2|880 |150 ||||650 |||||Distance log 2.pdf
20/1/22 |Nisku, AB |Prince George, BC |||710250 |711050 |800 |2|450 |350 ||||432 |||||Distance log 2.pdf
21/1/22 |Prince George, BC |Nisku, AB |||711050 |712000 |950 |2|550 |400 |||||345 ||||Distance log 2.pdf
24/1/22 |Nisku, AB |Grande Prairie, AB |||712000 |712550 |550 |2|550 |||||645 |||||Distance log 2.pdf
25/1/22 |Grande Prairie, AB |Nisku, AB |||712550 |713150 |600 |2|600 |||||585 |||||Distance log 2.pdf
26/1/22 |Nisku, AB |Fort St. Jhon, BC |||713150 |713950 |800 |2|650 |150 |||||||||Distance log 2.pdf
27/1/22 |Fort St. Jhon, BC |Nisku, AB |||713950 |714630 |680 |2|530 |150 ||||650 |||||Distance log 2.pdf
30/1/22 |Nisku, AB |Fort St. Jhon, BC |||714630 |715230 |600 |2|500 |100 |||||||||Distance log 2.pdf
31/1/22 |Fort St. Jhon, BC |Nisku, AB |||715230 |716080 |850 |2|600 |200 ||||690 |||||Distance log 2.pdf
01/6/22 |Valemount, BC |Nisku, AB |||787270 |787800 |530 |2||80 ||||600 |||||Distance log 2.pdf
02/6/22 |Nisku to Fort Sask, |Nisku, AB |||787800 |788100 |300 |2|300 ||||||||||Distance log 2.pdf
06/6/22 |Nisku to Spruce Grove |Nisku, AB |||788100 |788250 |150 |2|150 |||||380 |||||Distance log 2.pdf
07/6/22 |Nisku, AB |Fort St. Jhon, BC |||788250 |788950 |700 |2|580 |120 |||||||||Distance log 2.pdf
08/6/22 |Fort st jhon to Nisku |whitecourt, AB |||788950 |789900 |950 |2|800 |150 ||||650 |||||Distance log 2.pdf
09/6/22 |Whitecourt to GP, AB |Nisku to Valleyview |||789900 |791050 |1150 |2|1150 |||||585 |||||Distance log 2.pdf
10/6/22 |Chetwynd, BC |Nisku, AB |||791050 |792200 |1150 |2|850 |300 ||||630 |||||Distance log 2.pdf
14/6/22 |Nisku, AB |Prince George, BC |||792200 |793050 |850 |2|500 |350 ||||420 |||||Distance log 2.pdf
15/6/22 |Prince George, BC |Nisku, AB |||793050 |793870 |820 |2|470 |350 ||||642 |||||Distance log 2.pdf
16/6/22 |Nisku to Fort Sask, |Nisku, AB |||793870 |794270 |400 |2|400 ||||||||||Distance log 2.pdf
19/6/22 |Nisku, AB |Prince George, BC |||794270 |795220 |950 |2|550 |400 ||||400 |||||Distance log 2.pdf
20/6/22 |Prince George, BC |Nisku, AB |||795220 |796200 |980 |2|580 |400 ||||650 |||||Distance log 2.pdf
21/6/22 |Nisku to GP, AB |Nisku, AB |||796200 |797250 |1050 |2|1050 |||||550 |||||Distance log 2.pdf
22/6/22 |Nisku to Fox Creek |Nisku, AB |||797250 |797850 |600 |2|600 ||||||||||Distance log 2.pdf
23/6/22 |Nisku, AB |Chetwynd, BC |||797850 |798650 |800 |2|650 |150 ||||570 |||||Distance log 2.pdf
24/6/22 |Chetwynd, BC |Nisku, AB |||798650 |799500 |850 |2|650 |200 ||||645 |||||Distance log 2.pdf
26/6/22 |Nisku, AB |Prince George, BC |||799500 |800250 |750 |2|400 |350 |||||||||Distance log 2.pdf
27/6/22 |Prince George, BC |Kamloops, BC |||800250 |801050 |800 |2||800 |||||450 ||||Distance log 2.pdf
28/6/22 |coldstream, BC |Abbotsford, BC |||801050 |801700 |650 |2||650 |||||500 ||||Distance log 2.pdf
29/6/22 |Abbotsford, BC |Valemount, BC |||801700 |802330 |630 |2||630 |||||||||Distance log 2.pdf
30/6/22 |Valemount, BC |Nisku, AB |||802330 |802980 |650 |2|550 |100 ||||700 |||||Distance log 2.pdf
